TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,STORAGE_USAGE_MB
UDACITY_FINAL_PROJECT,STAGING_SCHEMA,YELP_BUSINESS,11852.000000
UDACITY_FINAL_PROJECT,STAGING_SCHEMA,YELP_CHECKIN,336201.000000
UDACITY_FINAL_PROJECT,STAGING_SCHEMA,YELP_REVIEW,2660587.000000
UDACITY_FINAL_PROJECT,STAGING_SCHEMA,YELP_TIP,73842.500000
UDACITY_FINAL_PROJECT,STAGING_SCHEMA,YELP_COVID,5007.000000
UDACITY_FINAL_PROJECT,STAGING_SCHEMA,YELP_USER,2119419.500000
UDACITY_FINAL_PROJECT,STAGING_SCHEMA,WEATHER_PRECIPITATION,146.000000
UDACITY_FINAL_PROJECT,STAGING_SCHEMA,WEATHER_TEMPERATURE,210.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,LOCATION,3835.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,DATE_TIME,740654.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,USER,2116801.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,TIP,74052.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,REVIEW,2641133.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,CHECKIN,559421.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,TEMPERATURE,225.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,PRECIPITATION,178.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,BUSINESS,7933.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,BUSINESS_ATTRIBUTES,3815.000000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,BUSINESS_HOURS,5537.500000
UDACITY_FINAL_PROJECT,ODS_SCHEMA,COVID,5468.500000
UDACITY_FINAL_PROJECT,DW_SCHEMA,DIMDATE,741050.000000
UDACITY_FINAL_PROJECT,DW_SCHEMA,DIMUSER,2117064.500000
UDACITY_FINAL_PROJECT,DW_SCHEMA,DIMBUSINESS,767267.500000
UDACITY_FINAL_PROJECT,DW_SCHEMA,DIMTEMPERATURE,173.500000
UDACITY_FINAL_PROJECT,DW_SCHEMA,DIMPRECIPITATION,126.500000
UDACITY_FINAL_PROJECT,DW_SCHEMA,FACTREVIEW,3126925.000000